Date Time,Weight
09/05 14:46,93.7
10/05 14:46,93.5
11/05 14:30,93.5
11/05 17:03,93.5
11/05 21:21,92.7
12/05 02:12,93.5
12/05 12:43,92.8
12/05 16:41,93.1
12/05 19:17,92.9
12/05 21:19,93.7
13/05 02:18,93.5
13/05 11:50,92.5
13/05 13:51,92.6
13/05 21:39,92.6
14/05 02:39,92.7
14/05 10:54,92.5
14/05 20:58,92.5
14/05 23:57,92.9
15/05 12:45,92.3
15/05 17:03,92.5
16/05 13:19,92.1
16/05 13:28,92.5
16/05 19:20,92.4
17/05 03:36,93.3
17/05 14:04,92.7
17/05 16:52,92.5
17/05 18:45,92.3
17/05 20:37,92.9
18/05 01:44,92.5
18/05 14:49,91.6
18/05 18:50,91.8
18/05 20:09,93.0
19/05 01:22,92.4
19/05 16:22,92.1
19/05 18:55,91.9
20/05 00:39,92.4
20/05 16:20,91.5
20/05 19:12,91.9
21/05 05:10,91.8
21/05 22:03,91.5
22/05 01:03,92.4
22/05 02:23,92.1
22/05 18:49,92.3
23/05 00:54,92.5
23/05 14:40,92.1
23/05 20:04,92.1
24/05 02:45,91.9
24/05 09:37,91.4
24/05 18:59,91.5
25/05 02:44,92.3
25/05 12:28,91.7
25/05 21:00,91.8
26/05 01:34,92.5
26/05 13:36,92.0
27/05 00:59,92.5
27/05 02:28,92.5
27/05 15:00,91.8
27/05 16:32,91.5
27/05 17:20,91.8
27/05 22:10,91.8
28/05 02:49,92.3
28/05 11:17,91.9
28/05 21:17,92.1
29/05 02:00,92.5
29/05 18:17,92.4
29/05 19:42,92.6
30/05 13:35,92.1
30/05 22:58,91.6
31/05 10:13,90.8
31/05 12:24,91.7
31/05 14:52,91.7
31/05 23:24,92.7
01/06 01:25,92.6
01/06 10:01,91.9
01/06 17:40,91.7
01/06 21:39,92.8
02/06 03:45,92.5
02/06 12:53,92.0
02/06 17:36,91.5
02/06 21:19,92.1
03/06 12:29,91.3
03/06 15:50,91.4
03/06 20:49,90.8
03/06 21:10,91.6
04/06 03:53,91.5
04/06 11:33,91.1
04/06 14:40,92.0
04/06 19:43,91.7
05/06 00:16,91.4
05/06 03:19,91.5
05/06 11:51,91.3
05/06 15:19,91.6
05/06 20:10,91.5
06/06 04:17,91.9
06/06 13:01,91.3
06/06 16:13,91.9
06/06 21:03,91.6
06/06 22:42,91.7
07/06 03:00,91.7
07/06 12:20,91.0
07/06 13:20,91.4
07/06 18:19,90.9
08/06 00:04,90.6
08/06 02:15,90.7
08/06 10:55,90.1
08/06 12:24,90.6
08/06 14:40,90.0
08/06 21:05,91.4
08/06 23:58,91.0
09/06 10:33,90.8
09/06 19:00,91.3
10/06 03:00,92.0
10/06 13:39,91.5
10/06 21:32,90.9
10/06 22:05,91.5
11/06 01:29,91.4
11/06 10:46,90.8
11/06 20:40,90.6
11/06 21:41,91.6
12/06 01:58,91.3
12/06 12:20,90.6
12/06 17:33,90.4
13/06 01:11,91.1
13/06 13:31,90.2
13/06 20:10,90.2
13/06 20:22,90.7
14/06 01:22,90.4
14/06 02:24,90.6
14/06 11:44,90.0
14/06 17:56,89.9
14/06 20:00,91.3
14/06 23:59,91.1
15/06 01:34,91.0
15/06 21:07,90.6
15/06 23:59,91.0
